13,3,1,2084,540,4065
14,3,1,514,0,5710
17,5,1,0,0,4491
7,2,2,73,699,198
17,7,1,1217,269,2249
18,5,1,0,0,3851
18,7,0,509,0,5951
16,8,-2,159,933,1004
11,9,-3,33,449,0
20,1,-3,166,520,1253
20,5,-4,0,0,618
15,10,-4,158,1356,540
9,2,-3,26,154,127
9,7,-3,28,284,0
16,2,-2,0,0,1853
12,8,-2,209,1852,398
13,3,-1,1329,318,2960
8,7,1,0,2200,0
12,3,2,259,1276,1679
15,5,-2,554,129,1196
19,6,-2,0,0,1657
9,8,-2,0,791,0
18,4,-2,0,0,1726
13,4,-2,178,778,1203
16,1,-2,218,1459,779
21,8,-3,0,0,786
12,7,-3,93,746,263
13,10,-4,199,1760,168
9,9,-3,0,322,0
20,7,-4,0,0,704
15,2,-4,0,0,369
9,4,-2,39,475,168
18,3,-2,0,0,1769
18,7,-3,58,0,813
18,2,-3,0,0,768
6,5,0,0,1324,0
16,4,0,0,0,7775
7,9,0,0,2320,0
13,2,-2,164,0,2064
17,6,-2,132,0,1710
21,8,-2,0,0,1723
18,5,-2,0,0,1742
10,9,-1,0,2039,0
8,9,0,0,2813,0
21,5,-3,0,0,671
12,2,1,2104,513,4124
20,2,1,0,0,5655
9,9,1,0,2625,0
9,1,2,0,1079,0
19,4,1,0,0,3548
13,1,1,403,4485,411
21,2,1,0,0,2539
17,2,1,0,0,4564
17,3,1,0,0,4474
20,7,2,0,0,2242
14,2,2,0,0,2853
20,2,2,0,0,2549
18,3,2,0,0,1831
15,2,3,0,0,1136
8,7,0,0,2756,0
14,8,-1,431,3033,1577
9,8,1,0,2677,0
20,1,0,722,2650,5325
21,5,1,0,0,2522
20,4,-2,0,0,3237
20,7,-2,0,0,3899
7,4,0,147,1620,139
7,10,0,0,9573,0
19,2,0,0,0,6115
6,10,-2,0,1732,0
17,10,-3,345,2241,1790
12,1,-3,83,1128,0
18,4,-4,0,0,326
13,3,-2,670,131,1348
18,10,-3,297,1750,2075
6,5,-3,0,120,0
14,7,-2,151,1242,956
10,6,-2,59,589,135
10,10,-2,0,4355,0
17,4,-2,0,0,1879
14,4,-1,1325,327,2753
21,4,-2,0,0,1431
16,10,-3,352,2500,1340
11,6,0,345,3041,965
12,5,0,724,4941,3577
21,3,0,0,0,4850
12,7,3,91,842,242
21,2,3,0,0,523
20,5,0,0,0,10720
5,8,1,0,982,0
20,3,1,0,0,5683
8,5,0,182,1990,174
7,2,1,153,1549,489
18,4,2,0,0,1845
14,3,2,246,0,2647
20,4,1,0,0,5616
14,9,2,187,1776,565
14,1,2,179,1706,339
15,6,2,219,1023,1421
16,10,2,493,4678,2158
21,7,2,0,0,1045
12,1,-1,438,5839,0
7,5,0,139,1725,0
16,10,-2,731,5780,3058
15,7,-2,165,990,1082
12,5,-1,389,2531,1825
18,9,-2,152,769,1102
20,10,-4,896,232,2232
14,10,-5,63,506,123
15,10,-5,56,470,159
19,9,-5,34,5,73
21,9,-1,0,0,3567
6,4,-1,54,642,0
12,1,-2,197,2689,0
13,5,-2,154,944,1022
15,8,-2,167,1136,914
20,10,-5,331,88,823
16,5,-4,24,0,292
17,10,-5,50,318,303
5,10,-5,0,83,0
9,8,-6,0,15,0
17,4,-6,0,0,47
11,1,1,0,2946,0
7,9,2,0,854,0
12,6,2,216,2011,982
19,4,2,0,0,1688
17,10,2,507,3528,2303
5,10,2,0,1508,0
8,5,3,34,465,29
15,6,3,76,481,597
9,8,4,0,242,0
13,4,4,51,249,297
11,7,4,16,232,37
14,6,4,62,317,226
13,3,4,195,55,355
